STATE,CITY,COUNTY_LOCATION_DEFINED,BEG_DATE,END_DATE,RATE
UT,All Other Utah Cities,,7/1/2015,6/30/2016,$70.00 
UT,All Other Utah Cities,,7/1/2016,6/30/2017,$70.00 
UT,All Other Utah Cities,,7/1/2017,6/30/2018,$70.00 
UT,All Other Utah Cities,,7/1/2018,6/30/2019,$70.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2014,9/30/2015,$83.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2015,9/30/2016,$89.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2016,9/30/2017,$91.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2017,9/30/2018,$93.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2018,9/30/2019,$94.00 
AL,Birmingham,Jefferson / Shelby,10/1/2015,9/30/2016,$94.00 
AL,Gulf Shores,Baldwin,10/1/2015,2/29/2016,$101.00 
AL,Gulf Shores,Baldwin,3/1/2015,7/31/2016,$130.00 
AL,Gulf Shores,Baldwin,8/1/2015,9/30/2016,$101.00 
AL,Mobile,Mobile,10/1/2015,12/31/2015,$89.00 
AL,Mobile,Mobile,1/1/2016,2/29/2016,$99.00 
AL,Mobile,Mobile,3/1/2015,9/30/2016,$89.00 
AR,Hot Springs,Garland,10/1/2015,9/30/2016,$101.00 
AR,Little Rock,Pulaski,10/1/2015,9/30/2016,$91.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,10/1/2015,10/31/2015,$124.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,10/1/2015,10/31/2015,$124.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,11/1/2015,2/29/2016,$89.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,11/1/2015,2/29/2016,$89.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,3/1/2015,9/30/2016,$124.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,3/1/2015,9/30/2016,$124.00 
AZ,Kayenta,Navajo,10/1/2015,9/30/2016,$112.00 
AZ,Phoenix,Maricopa,10/1/2015,12/31/2015,$113.00 
AZ,Scottsdale,Maricopa,10/1/2015,12/31/2015,$113.00 
AZ,Phoenix,Maricopa,1/1/2016,3/31/2016,$161.00 
AZ,Scottsdale,Maricopa,1/1/2016,3/31/2016,$161.00 
AZ,Phoenix,Maricopa,4/1/2016,5/31/2016,$120.00 
AZ,Scottsdale,Maricopa,4/1/2016,5/31/2016,$120.00 
AZ,Phoenix,Maricopa,6/1/2016,8/31/2016,$89.00 
AZ,Scottsdale,Maricopa,6/1/2016,8/31/2016,$89.00 
AZ,Phoenix,Maricopa,9/1/2016,9/30/2016,$113.00 
AZ,Scottsdale,Maricopa,9/1/2016,9/30/2016,$113.00 
AZ,Sedona,City Limits of Sedona,10/1/2015,2/29/2016,$134.00 
AZ,Sedona,City Limits of Sedona,3/1/2015,8/31/2016,$141.00 
AZ,Sedona,City Limits of Sedona,9/1/2016,9/30/2016,$134.00 
AZ,Tucson,Pima,10/1/2015,12/31/2015,$89.00 
AZ,Tucson,Pima,1/1/2016,2/29/2016,$106.00 
AZ,Tucson,Pima,3/1/2015,9/30/2016,$89.00 
CA,Antioch,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Brentwood,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Concord,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Bakersfield,Kern,10/1/2015,9/30/2016,$95.00 
CA,Ridgecrest,Kern,10/1/2015,9/30/2016,$95.00 
CA,Barstow,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Ontario,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Victorville,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Death Valley,Inyo ,10/1/2015,9/30/2016,$102.00 
CA,Eureka,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,Arcata,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,McKinleyville,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,Eureka,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,Arcata,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,McKinleyville,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,Eureka,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,Arcata,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,McKinleyville,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,Fresno,Fresno,10/1/2015,9/30/2016,$92.00 
